code,city,name,country
flj,falls bay,falls bay,"usa, ak"
fll,fort lauderdale,international,"usa, fl"
flm,filadelfia,filadelfia,paraguay
fln,florianopolis,hercilio luz,brazil
flo,florence,florence,"usa, sc"
flp,flippin,flippin,"usa, ar"
flr,florence,peretola,italy
fls,flinders island,flinders island,australia
flt,flat,flat,"usa, ak"
flu,new york,flushing,"usa, ny"
flv,fort leavenworth,sherman aaf,"usa, ks"
flw,flores island,santa cruz,portugal
flx,fallon,municipal,"usa, nv"
fly,finley,finley,australia
fma,formosa,el pucu,argentina
fmc,five mile,five mile,"usa, ak"
fme,fort meade,tipton aaf,"usa, md"
fmg,flamingo,flamingo,costa rica
fmh,falmouth,otis afb,"usa, ma"
fmi,kalemie,kalemie,congo (drc)
fmm,memmingen,memmingen,germany
fmn,farmington,municipal,"usa, nm"
fmo,muenster/osnabrueck,flughafen m?nster/osnabr?ck,germany
fms,fort madison,municipal,"usa, ia"
fmy,fort myers,page field,"usa, fl"
fna,freetown,lungi international,sierra leone
fnb,neubrandenburg,neubrandenburg,germany
fnc,funchal,funchal,portugal
fne,fane,fane,papua new guinea
fng,fada ngourma,fada ngourma,burkina faso
fnh,fincha,fincha,ethiopia
fni,nimes,garons,france
fnj,pyongyang,sunan,"korea, dpr"
fnk,fin creek,fin creek,"usa, ak"
fnl,fort collins/loveland,municipal airport,"usa, co"
fnr,funter bay,spb,"usa, ak"
fnt,flint,bishop,"usa, mi"
foa,foula,foula,united kingdom
fob,fort bragg,fort bragg,"usa, ca"
foc,fuzhou,fuzhou,pr china
fod,fort dodge,fort dodge,"usa, ia"
foe,topeka,forbes afb,"usa, ks"
fog,foggia,gino lisa,italy
fok,westhampton,suffolk county,"usa, ny"
fom,foumban,foumban,cameroon
fon,fortuna,fortuna,costa rica
foo,numfoor,numfoor,indonesia
fop,forest park,morris aaf,"usa, ga"
for,fortaleza,pinto martins,brazil
fos,forrest,forrest,australia
fot,forster,forster,australia
fou,fougamou,fougamou,gabon
fox,fox,fox,"usa, ak"
foy,foya,foya,liberia
fpo,freeport,grand bahama international,bahamas
fpr,fort pierce,st lucie county,"usa, fl"
fpy,perry,perry-foley,"usa, fl"
fra,frankfurt,international,germany
frb,forbes,forbes,australia
frc,franca,franca,brazil
frd,friday harbor,friday harbor,"usa, wa"
fre,fera island,fera island,solomon islands
frf,frankfurt,rhein-main afb,germany
frg,farmingdale,republic field,"usa, ny"
frh,french lick,municipal,"usa, in"
fri,fort riley,marshall aaf,"usa, ks"
frj,frejus,frejus,france
frk,fregate is,fregate is,seychelles
frl,forli,luigi ridolfi,italy
frm,fairmont,fairmont,"usa, mn"
frn,fort richardson,bryant aaf,"usa, ak"
fro,floro,flora,norway
frp,fresh water bay,fresh water bay,"usa, ak"
frq,feramin,feramin,papua new guinea
frr,front royal,warren county,"usa, va"
frs,flores,santa elena,guatemala
frt,frutillar,frutillar,chile
fru,bishkek,manas international,kyrgyzstan
frw,francistown,francistown,botswana
fry,fryeburg,fryeburg,"usa, me"
frz,fritzlar,fritzlar airbase,germany
fsc,figari,sud corse,france
fsd,sioux falls,regional(jo foss fld),"usa, sd"
fsi,fort sill,henry post aaf,"usa, ok"
fsk,fort scott,municipal,"usa, ks"
fsl,fossil downs,fossil downs,australia
fsm,fort smith,municipal,"usa, ar"
fsn,fort sheridan,haley aaf,"usa, il"
fsp,st pierre,st pierre,st. pierre and miquelon
fss,forres,kinloss,united kingdom
fst,fort stockton,pecos county,"usa, tx"
fsu,fort sumner,fort sumner,"usa, nm"
fta,futuna island,futuna airport,vanuatu
fte,el calafate,el calafate,argentina
fti,fitiuta,fitiuta,american samoa
ftk,fort knox,godman aaf,"usa, ky"
ftl,fortuna ledge,fortuna ledge,"usa, ak"
ftu,fort dauphin,marillac,madagascar
ftw,fort worth/dallas,meacham field,"usa, tx"
ftx,owando,owando,congo (roc)
fty,atlanta,fulton county,"usa, ga"
fub,fulleborn,fulleborn,papua new guinea
fue,fuerteventura,fuerteventura,"canary islands, spain"
fug,fuyang,fuyang,pr china
fuj,fukue,fukue,japan
fuk,fukuoka,fukuoka,japan
ful,fullerton,municipal,"usa, ca"
fum,fuma,fuma,papua new guinea
fun,funafuti atol,international,tuvalu
fuo,fuoshan,fuoshan,pr china
fut,futuna island,futuna island,wallis and futuna
fvl,flora valley,flora valey,australia
fvr,forrest river,forrest river airport,australia
fwa,fort wayne,municipal/baer field,"usa, in"
fwh,fort worth/dallas,carswell afb,"usa, tx"
fwl,farewell,farewell,"usa, ak"
fwm,fort william,heliport,united kingdom
fxe,fort lauderdale,executive,"usa, fl"
fxm,flaxman island,flaxman island,"usa, ak"
fxo,cuamba,cuamba,mozambique
fxy,forest city,municipal,"usa, ia"
fym,fayetteville,municipal,"usa, tn"
fyn,fuyun,fuyun,pr china
fyt,faya,faya,chad
fyu,fort yukon,fort yukon,"usa, ak"
fyv,fayetteville,municipal (drake fld),"usa, ar"
fzo,filton,filton,united kingdom
gaa,guamal,guamal,colombia
gab,gabbs,gabbs,"usa, nv"
gac,gracias,gracias,honduras
gad,gadsden,municipal,"usa, al"
gae,gabes,gabes,tunisia
gaf,gafsa,gafsa,tunisia
gag,gage,gage,"usa, ok"
gah,gayndah,gayndah,australia
gai,gaithersburg,montgomery county,"usa, md"
gaj,yamagata,junmachi,japan
gak,gakona,gakona,"usa, ak"
gal,galena,galena,"usa, ak"
gam,gambell,gambell,"usa, ak"
gan,gan island,gan/seenu,maldives
gao,guantanamo,los canos,cuba
gap,gusap,gusap,papua new guinea
gaq,gao,gao,mali
gar,garaina,garaina,papua new guinea
gas,garissa,garissa,kenya
gat,gap,tallard,france
gau,gawahati,borjhar,india
gav,gag island,gag island,indonesia
gaw,gangaw,gangaw,myanmar
gax,gamba,gamba,gabon
gay,gaya,gaya,india
gaz,guasopa,guasopa,papua new guinea
gba,big bay,big bay,vanuatu
gbb,gara djebilet,gara djebilet,algeria
gbc,gasuke,gasuke,papua new guinea
gbd,great bend,great bend,"usa, ks"
gbe,gaborone,sir seretse khama int,botswana
gbf,negarbo,negarbo,papua new guinea
gbg,galesburg,galesburg,"usa, il"
gbh,galbraith lake,galbraith lake,"usa, ak"
gbi,grand bahama,aux ab,bahamas
gbj,marie galante,les bases,guadeloupe
gbk,gbangbatok,gbangbatok,sierra leone
gbl,goulburn island,goulburn island,australia
gbm,garbaharey,garbaharey,somalia
gbn,san giovanni rotondo,san giovanni rotondo,italy
gbo,baltimore,baltimore greenbelt t,"usa, md"
gbp,gamboola,gamboola,australia
gbr,great barrington,great barrington,"usa, ma"
gbs,port fitzroy,port fitzroy,new zealand
gbu,khashm el girba,khashm el girba,sudan
gbv,gibb river,gibb river,australia
gbz,great barrier island,great barrier island,new zealand
gca,guacamaya,guacamaya,colombia
gcc,gillette,campbell county,"usa, wy"
gci,guernsey,guernsey,channel island (uk)
gcj,johannesburg,grand central,south africa
gck,garden city,municipal airport,"usa, ks"
gcm,grand cayman island,owen roberts international,cayman islands
gcn,grand canyon,national park,"usa, az"
gcv,gravatai,gravatai,brazil
gcy,greenville,municipal,"usa, tn"
gda,gounda,gounda,central african republic
gdc,greenville,donaldson center,"usa, sc"
gdc2,greer,donaldson center,"usa, sc"
gdd,gordon downs,gordon downs,australia
gde,gode/iddidole,gode/iddidole,ethiopia
gdg,magdagachi,magdagachi,russia
gdh,golden horn,spb,"usa, ak"
gdi,gordil,gordil,central african republic
gdj,gandajika,gandajika,congo (drc)
gdl,guadalajara,miguel hidal,mexico
gdm,gardner,municipal,"usa, ma"
gdn,gdansk,rebiechowo,poland
gdo,guasdualito,vare maria,venezuela
gdp,guadalupe,guadalupe,brazil
gdq,gondar,gondar,ethiopia
gdt,grand turk island,grand turk island,turks and caicos
gdv,glendive,dawson community,"usa, mt"
gdw,gladwin,gladwin,"usa, mi"
gdx,magadan,magadan,russia
gdz,gelendzik,gelendzik,russia
gea,noumea,magenta,new caledonia
geb,gebe,gebe,indonesia
gec,gecitkale,gecitkale,cyprus
ged,georgetown,sussex county,"usa, de"
gee,george town,george town,australia
gef,geva,geva airstrip,solomon islands
geg,spokane,international,"usa, wa"
gei,green islands,green islands,papua new guinea
gek,ganes creek,ganes creek,"usa, ak"
gel,santo angelo,sepe tiaraju,brazil
geo,georgetown,cheddi jagan international,guyana
ger,nueva gerona,rafael cabrera,cuba
ges,general santos,buayan,philippines
get,geraldton,geraldton,australia
gev,gallivare,gallivare,sweden
gew,gewoia,gewoia,papua new guinea
gex,geelong,geelong,australia
gey,greybull,south big horn county,"usa, wy"
gfa,great falls,malmstrom afb,"usa, mt"
gfb,togiak fish,togiak fish,"usa, ak"
gfd,greenfield,pope field,"usa, in"
gfe,grenfell,grenfell,australia
gff,griffith,griffith,australia
gfk,grand forks,grand forks,"usa, nd"
gfl,glens falls,warren county,"usa, ny"
gfn,grafton,grafton,australia
gfo,bartica,bartica,guyana
gfr,granville,granville,france
gfy,grootfontein,grootfontein,namibia
ggc,lumbala,lumbala,angola
ggd,gregory downs,gregory downs,australia
gge,georgetown,georgetown,"usa, sc"
ggg,longview,gregg county airport,"usa, tx"
ggl,gilgal,gilgal,colombia
ggn,gagnoa,gagnoa,cote d'ivoire
ggo,guiglo,guiglo,cote d'ivoire
ggr,garoe,garoe,somalia
ggs,gobernador gregores,gobernador gregores,argentina
ggt,george town,exuma international,bahamas
ggw,glasgow,international,"usa, mt"
gha,ghardaia,noumerate,algeria
ghb,governors harbour,governors harbour,bahamas
ghc,great harbour,great harbour,bahamas
ghd,ghimbi,ghimbi,ethiopia
ghe,garachine,garachine,panama
ghf,giebelstadt,giebelstadt,germany
ghk,gush katif,gush katif,israel
ghm,centerville,municipal,"usa, tn"
ghn,guanghan,guanghan,pr china
ght,ghat,ghat,libya
ghu,gualeguaychu,gualeguaychu,argentina
gib,gibraltar,north front,gibraltar
gic,boigu island,boigu island,australia
gid,gitega,gitega,burundi
gif,winter haven,gilbert field,"usa, fl"
gig,rio de janeiro,internacional,brazil
gii,siguiri,siguiri,guinea
gil,gilgit,gilgit,pakistan
gim,miele mimbale,miele mimbale,gabon
gir,girardot,girardot,colombia
gis,gisborne,gisborne,new zealand
git,geita,geita,tanzania
giy,giyani,giyani,south africa
giz,gizan,gizan,saudi arabia
gja,guanaja,guanaja,honduras
gjl,jijel,jijel,algeria
gjm,guajara-mirim,guajara-mirim,brazil
gjr,gjogur,gjogur,iceland
gjt,grand junction,walker field,"usa, co"
gka,goroka,goroka,papua new guinea
gke,geilenkirchen,geilenkirchen,germany
gkh,gorkha,gorkha,nepal
gkl,great keppel island,great keppel island,australia
gkn,gulkana,gulkana,"usa, ak"
gko,kongoboumba,kongoboumba,gabon
gkt,gatlinburg,gatlinburg,"usa, tn"
gla,glasgow,glasgow international,united kingdom
glc,geladi,geladi,ethiopia
gld,goodland,renner field,"usa, ks"
gle,gainesville,municipal,"usa, tx"
glf,golfito,golfito,costa rica
glg,glengyle,glengyle,australia
glh,greenville,greenville,"usa, ms"
gli,glen innes,glen innes,australia
glk,galcaio,galcaio,somalia
gll,gol,klanten airport,norway
glm,glenormiston,glenormiston,australia
gln,goulimime,goulimime,morocco
glo,gloucester,gloucestershire,united kingdom
glp,gulgubip,gulgubip,papua new guinea
glq,glennallen,glennallen,"usa, ak"
glr,gaylord,otsego county,"usa, mi"
gls,galveston,scholes field,"usa, tx"
glt,gladstone,gladstone,australia
glv,golovin,golovin,"usa, ak"
glw,glasgow,municipal,"usa, ky"
glx,galela,galela,indonesia
gly,goldsworthy,goldsworthy,australia
glz,breda,gilze-rijen,netherlands
gma,gemena,gemena,congo (drc)
gmb,gambela,gambela,ethiopia
gmc,guerima,guerima,colombia
gme,gomel,gomel,belarus
gmi,gasmata island,gasmata island,papua new guinea
gmm,gamboma,gamboma,congo (roc)
gmn,greymouth,greymouth,new zealand
gmp,seoul,gimpo international,south korea
gmr,gambier is,gambier is,french polynesia
gms,guimaraes,guimaraes,brazil
gmt,granite mountain,granite mountain,"usa, ak"
gmu,greenville,downtown,"usa, sc"
gmu2,greer,downtown,"usa, sc"
gmv,goulding,monument valley,"usa, ut"
gmy,rheindahlen,rheindahlen,germany
gmz,san sebas de la gomera,la gomera,"canary islands, spain"
gna,grodna,grodna,belarus
gnb,grenoble,saint geoirs,france
gnd,grenada,point saline international,grenada
gne,ghent,ghent,belgium
gng,gooding,gooding,"usa, id"
gni,green island,green island,taiwan
gnm,guanambi,guanambi,brazil
gnn,ghinnir,ghinnir,ethiopia
gnr,general roca,general roca,argentina
gns,gunungsitoli,gunungsitoli,indonesia
gnt,grants,milan,"usa, nm"
gnu,goodnews bay,goodnews bay,"usa, ak"
gnv,gainesville,j r alison municipal,"usa, fl"
gnz,ghanzi,ghanzi,botswana
goa,genoa,cristoforo colombo,italy
gob,goba,goba,ethiopia
goc,gora,gora,papua new guinea
goe,gonalia,gonalia,papua new guinea
gof,san angelo,goodfellow afb,"usa, tx"
gog,gobabis,gobabis,namibia
goh,nuuk,nuuk,greenland
goi,goa,dabolim,india
goj,nizhniy novgorod,nizhniy novgorod,russia
gok,guthrie,guthrie,"usa, ok"
gol,gold beach,state,"usa, or"
gom,goma,goma,congo (drc)
gon,groton,groton-new london,"usa, ct"
gon2,groton,new london,"usa, ct"
gon3,new london,groton-new london,"usa, ct"
gon4,new london,new london,"usa, ct"
goo,goondiwindi,goondiwindi,australia
gop,gorakhpur,gorakhpur,india
goq,golmud,golmud,pr china
gor,gore,gore,ethiopia
gos,gosford,gosford,australia
got,gothenburg,landvetter,sweden
gou,garoua,garoua,cameroon
gov,gove,nhulunbuy,australia
goy,gal oya,amparai,sri lanka
goz,gorna orechovitsa,gorna orechovitsa,bulgaria
gpa,patras,araxos airport,greece
gpb,guarapuava,tancredo thomaz faria,brazil
gpi,guapi,guapi,colombia
gpl,guapiles,guapiles,costa rica
gpn,garden point,garden point,australia
gpo,general pico,general pico,argentina
gps,galapagos is,baltra,ecuador
gpt,gulfport,biloxi regional,"usa, ms"
gpz,grand rapids,grand rapids,"usa, mn"
gqj,machrihanish,raf station,united kingdom
gqq,galion,galion,"usa, oh"
gra,gamarra,gamarra,colombia
grb,green bay,austin-straubel field,"usa, wi"
grc,grand cess,grand cess,liberia
grd,greenwood,greenwood,"usa, sc"
gre,greenville,municipal,"usa, il"
grf,tacoma,gray aaf,"usa, wa"
grg,gardez,gardez,afghanistan
grh,garuahi,garuahi,papua new guinea
gri,grand island,grand island,"usa, ne"
grj,george,george,south africa
grk,killeen,gray aaf,"usa, tx"
grl,garasa,garasa,papua new guinea
grm,grand marais,devils track,"usa, mn"
grn,gordon,gordon,"usa, ne"
gro,gerona,costa brava,spain
grp,gurupi,gurupi,brazil
grq,groningen,eelde,netherlands
grr,grand rapids,kent county international,"usa, mi"
grs,grosseto,baccarini,italy
grt,gujrat,gujrat,pakistan
gru,sao paulo,guarulhos international,brazil
grv,groznyj,groznyj,russia
grw,graciosa island,graciosa island,portugal
grx,granada,granada,spain
gry,grimsey,grimsey,iceland
grz,graz,thalerhof,austria
gsa,long pasia,long pasia,malaysia
gsb,goldsboro,seymour johnson afb,"usa, nc"
gsc,gascoyne junction,gascoyne junction,australia
gse,gothenburg,saeve,sweden
gsh,goshen,goshen,"usa, in"
gsi,guadalcanal,guadalcanal,solomon islands
gsl,taltheilei narrows,taltheilei narrows,canada
gsm,gheshm,gheshm,iran
gsn,mount gunson,mount gunson,australia
gso,greensboro/winston salem,piedmont triad international airport,"usa, nc"
gsp,greer,greenville-spartanbur airport,"usa, sc"
gsq,shark elowainat,shark elowainat,egypt
gsr,gardo,gardo,somalia
gss,sabi sabi,sabi sabi,south africa
gst,gustavus,gustavus airport,"usa, ak"
gsu,gedaref,gedaref,sudan
gsy,grimsby,binbrook,united kingdom
gta,gatokae,gatokae aerodrom,solomon islands
gtb,genting,genting,malaysia
gtc,green turtle,green turtle,bahamas
gte,groote eylandt,alyangula,australia
gtf,great falls,international,"usa, mt"
gtg,grantsburg,municipal,"usa, wi"
gti,guettin,guettin,germany
gtk,sungei tekai,sungei tekai,malaysia
gtn,mount cook,glentanner,new zealand
gto,gorontalo,tolotio,indonesia
gtr,columbus,golden triangle reg.,"usa, ms"
gts,granites,granites,australia
gtt,georgetown,georgetown,australia
gtw,zlin,holesov,czech republic
gty,gettysburg,gettysburg,"usa, pa"
gua,guatemala city,la aurora,guatemala
gub,guerrero negro,guerrero negro,mexico
guc,gunnison,gunnison,"usa, co"
gud,goundam,goundam,mali
gue,guriaso,guriaso,papua new guinea
guf,gulf shores,edwards,"usa, al"
gug,guari,guari,papua new guinea
guh,gunnedah,gunnedah,australia
gui,guiria,guiria,venezuela
guj,guaratingueta,guaratingueta,brazil
gul,goulburn,goulburn,australia
gum,guam,a.b. won pat international,guam
gun,montgomery,gunter afb,"usa, al"
guo,gualaco,gualaco,honduras
gup,gallup,senator clark,"usa, nm"
guq,guanare,guanare,venezuela
gur,alotau,gurney,papua new guinea
gus,peru,grissom afb,"usa, in"
gut,guetersloh,guetersloh,germany
guu,grundarfjordur,grundarfjordur,iceland
guv,mougulu,mougulu,papua new guinea
guw,atyrau,atyrau,kazakhstan
gux,guna,guna,india
guy,guymon,guymon,"usa, ok"
guz,guarapari,guarapari,brazil
gva,geneva,geneve-cointrin,switzerland
gve,gordonsville,municipal,"usa, va"
gvi,green river,green river,papua new guinea
gvl,gainesville,lee gilmer memorial,"usa, ga"
gvp,greenvale,greenvale,australia
gvr,governador valadares,governador valadares,brazil
gvt,greenville,majors field,"usa, tx"
gvw,grandview,richards-gebaur,"usa, mo"
gvx,gavle,sandviken,sweden
gwa,gwa,gwa,myanmar
gwd,gwadar,gwadar,pakistan
gwe,gweru,gweru,zimbabwe
gwl,gwalior,gwalior,india
gwn,gnarowein,gnarowein,papua new guinea
gwo,greenwood,leflore,"usa, ms"
gws,glenwood springs,glenwood springs,"usa, co"
gwt,westerland,westerland,germany
gwv,glendale,glendale,"usa, wv"
gww,berlin,raf gatow,germany
gwy,galway,carnmore,ireland
gxf,seiyun,seiyun,yemen
gxg,negage,negage,angola
gxh,mildenhall,naf,united kingdom
gxq,coyhaique,ten. vidal,chile
gxx,yagoua,yagoua,cameroon
gxy,greeley,weld county,"usa, co"
gya,guayaramerin,guayaramerin,bolivia
gye,guayaquil,simon bolivar,ecuador
gyi,gisenyi,gisenyi,rwanda
gyl,argyle,argyle,australia
gym,guaymas,gen jose m yanez,mexico
gyn,goiania,santa genoveva,brazil
gyp,gympie,gympie,australia
gyr,goodyear,litchfield,"usa, az"
gys,guang yuan,guang yuan,pr china
gyy,chicago,gary regional,"usa, il"
gyy2,gary,regional,"usa, in"
gza,gaza city,gaza international airport,palestinian territory
gzi,ghazni,ghazni,afghanistan
gzm,gozo,gozo,malta
gzo,gizo,gizo,solomon islands
gzt,gaziantep,gaziantep,turkey
haa,hasvik,hasvik,norway
hab,hamilton,marion county,"usa, al"
hac,hachijo jima,hachijo jima,japan
had,halmstad,halmstad,sweden
hae,havasupai,havasupai,"usa, az"
haf,half moon,half moon,"usa, ca"
hag,the hague,metropolitan area,netherlands
hah,moroni,prince said ibrahim in,comoros
hai,three rivers,dr haines,"usa, mi"
haj,hanover,hanover airport,germany
hak,haikou,haikou,pr china
hal,halali,halali,namibia
ham,hamburg,fuhlsbuettel,germany
han,hanoi,noibai,viet nam
hao,hamilton,hamilton,"usa, oh"
hap,long island,long island,australia
haq,hanimaadhoo,hanimaadhoo,maldives
har,harrisburg,harrisburg skyport,"usa, pa"
has,hail,hail,saudi arabia
hat,heathlands,heathlands,australia
hau,haugesund,haugesund,norway
hav,havana,jose marti international,cuba
haw,haverfordwest,haverfordwest,united kingdom
hax,muskogee,hatbox field,"usa, ok"
hay,haycock,haycock,"usa, ak"
haz,hatzfeldthaven,hatzfeldthaven,papua new guinea
hba,hobart,hobart,australia
hbb,hobbs,industrial airpark,"usa, nm"
hbc,hanus bay,hanus bay,"usa, ak"
hbd,habi,habi,papua new guinea
hbe,borg el arab,borg el arab airport,egypt
hbg,hattiesburg,bobby l. chain mun.,"usa, ms"
hbh,hobart bay,hobart bay,"usa, ak"
hbi,harbour island,harbour island,bahamas
hbl,babelegi,heliport,south africa
hbn,phu-bon,phu-bon,viet nam
hbo,humboldt,municipal,"usa, ne"
hbr,hobart,hobart,"usa, ok"
hbt,hafr albatin,hafr albatin,saudi arabia
hbx,hubli,hubli,india
hca,big spring,howard county,"usa, tx"
hcb,shoal cove,shoal cove,"usa, ak"
hcc,hudson,columbia county,"usa, ny"
hcm,eil,eil,somalia
hcn,hengchun,hengchun,taiwan
hcq,halls creek,halls creek,australia
hcr,holy cross,holy cross,"usa, ak"
hcs,johannesburg,randburg heliport,south africa
hcw,cheraw,cheraw,"usa, sc"
hda,hidden falls,hidden falls,"usa, ak"
hdb,heidelberg,heidelberg,germany
hdd,hyderabad,hyderabad,pakistan
hde,holdrege,brewster field,"usa, ne"
hdf,heringsdorf,heringsdorf,germany
hdh,oahu,dillingham airfield,"usa, hi"
hdm,hamadan,hamadan,iran
hdn,hayden,yampa valley,"usa, co"
hds,hoedspruit,hoedspruit airport,south africa
hdy,hat yai,hat yai,thailand
hea,herat,herat,afghanistan
heb,henzada,henzada,myanmar
hed,herendeen,herendeen,"usa, ak"
hee,helena,thompson-robbins,"usa, ar"
heh,heho,heho,myanmar
hei,heide/buesum,heide/buesum,germany
hek,heihe,heihe,pr china
hel,helsinki,helsinki-vantaa,finland
hem,helsinki,helsinki-malmi,finland
hen,hendon,hendon,united kingdom
heo,haelogo,haelogo,papua new guinea
her,heraklion,n. kazantzakis airport,greece
hes,hermiston,state,"usa, or"
het,hohhot,hohhot,pr china
hew,athens,hellinikon airport,greece
hex,santo domingo,herrera,dominican republic
hey,ozark,hanchey army heliport,"usa, al"
hez,natchez,hardy-anders,"usa, ms"
hfa,haifa,haifa,israel
hfd,hartford,brainard,"usa, ct"
hfe,hefei,hefei,pr china
hff,hoffman,mackall aaf,"usa, nc"
hfn,hornafjordur,hornafjordur,iceland
hfs,hagfors,hagfors,sweden
hft,hammerfest,hammerfest,norway
hga,hargeisa,hargeisa,somalia
hgd,hughenden,hughenden,australia
hgh,hangzhou,hangzhou,pr china
hgl,helgoland,helgoland,germany
hgn,mae hong son,mae hong son,thailand
hgo,korhogo,korhogo,cote d'ivoire
hgr,hagerstown,wash. county regional,"usa, md"
hgs,freetown,hastings,sierra leone
hgt,jolon,hunter aaf,"usa, ca"
hgu,mount hagen,kagamuga,papua new guinea
hgz,hogatza,hogatza,"usa, ak"
hha,huanghua,changsha huanghua,pr china
hhe,hachinohe,hachinohe,japan
hhh,hilton head,hilton head,"usa, sc"
hhi,wahiawa,wheeler afb,"usa, hi"
hhn,frankfurt,hahn,germany
hhp,hong kong,h k heliport,"hong kong, pr china"
hhq,hua hin,hua hin airport,thailand
hhr,hawthorne,hawthorne,"usa, ca"
hhz,hikueru,hikueru,french polynesia
hib,hibbing,chisholm airport,"usa, mn"
hic,pretoria,iscor heliport,south africa
hid,horn island,horn island,australia
hie,whitefield,regional,"usa, nh"
hif,ogden,hill afb,"usa, ut"
hig,highbury,highbury,australia
hih,hook island,hook island,australia
hii,lake havasu city,municipal,"usa, az"
hij,hiroshima,international,japan
hik,honolulu,hickam afb,"usa, hi"
hil,shillavo,shillavo,ethiopia
hin,chinju,sacheon,south korea
hio,hillsboro,portland,"usa, or"
hip,headingly,headingly,australia
hir,honiara,henderson international,solomon islands
his,hayman island,hayman island,australia
hit,hivaro,hivaro,papua new guinea
hiw,hiroshima,hiroshima west,japan
hix,hiva oa,hiva oa,french polynesia
hjr,khajuraho,khajuraho,india
hjt,khujirt,khujirt,mongolia
hka,blytheville,municipal,"usa, ar"
hkb,healy lake,healy lake,"usa, ak"
hkd,hakodate,hakodate,japan
hkg,hong kong,hong kong international,"hong kong, pr china"
hkk,hokitika,hokitika airport,new zealand
hkn,hoskins,hoskins,papua new guinea
hks,jackson,hawkins field,"usa, ms"
hkt,phuket,international,thailand
hkv,haskovo,haskovo,bulgaria
hky,hickory,hickory,"usa, nc"
hla,lanseria,lanseria,south africa
hlb,batesville,hillenbrand,"usa, in"
hlc,hill city,hill city,"usa, ks"
hld,hailar,hailar,pr china
hlf,hultsfred,hultsfred,sweden
hlg,wheeling,ohio county,"usa, wv"
hlh,ulanhot,ulanhot,pr china
hli,hollister,hollister,"usa, ca"
hlj,shauliaj,shauliaj,lithuania
hll,hillside,hillside,australia
hlm,holland,park township,"usa, mi"
hln,helena,helena,"usa, mt"
hlp,jakarta,halim perdana kusuma,indonesia
hlr,killeen,fort hood aaf,"usa, tx"
hls,st helens,st helens,australia
hlt,hamilton,hamilton,australia
hlu,houailou,houailou,new caledonia
hlv,helenvale,helenvale,australia
hlw,hluhluwe,hluhluwe,south africa
hly,holyhead,holyhead,united kingdom
hlz,hamilton,hamilton,new zealand
hme,hassi messaoud,oued irara apt,algeria
hmg,hermannsburg,hermannsburg,australia
hmi,hami,hami,pr china
hmj,khmelnitskiy,khmelnitskiy,ukraine
hmn,alamogordo,holloman afb,"usa, nm"
hmo,hermosillo,gen pesqueira garcia,mexico
hmr,hamar,hamar airport,norway
hms,homeshore,homeshore,"usa, ak"
hmt,hemet,ryan field,"usa, ca"
hmv,hemavan,hemavan,sweden
hna,morioka,hanamaki,japan
hnb,huntingburg,municipal,"usa, in"
hnc,hatteras,hatteras,"usa, nc"
hnd,tokyo,haneda,japan
hne,tahneta pass lodge,tahneta pass,"usa, ak"
hng,hienghene,hienghene,new caledonia
hnh,hoonah,hoonah,"usa, ak"
hni,heiweni,heiweni,papua new guinea
hnk,hinchinbrook island,hinchinbrook island,australia
hnl,honolulu,international,"usa, hi"
hnm,hana,hana,"usa, hi"
hnn,honinabi,honinabi,papua new guinea
hno,herceg novi,herceg novi airport,montenegro
hns,haines,municipal,"usa, ak"
hnx,hanna,hanna,"usa, wy"
hny,hengyang,hengyang,pr china
hoa,hola,hola,kenya
hob,hobbs,lea county,"usa, nm"
hoc,komako,komako,papua new guinea
hod,hodeidah,hodeidah airport,yemen
hoe,houeisay,houeisay,lao pdr
hof,hofuf,al hasa,saudi arabia
hog,holguin,frank pais,cuba
hoh,hohenems,hohenems,austria
hoi,hao island,hao island,french polynesia
hok,hooker creek,hooker creek,australia
hol,holikachu,holikachu,"usa, ak"
hom,homer,homer,"usa, ak"
hon,huron,howes,"usa, sd"
hoo,quanduc,nhon co,viet nam
hop,hopkinsville,campbell aaf,"usa, ky"
hoq,hof,hof,germany
hor,horta,horta,portugal
hos,chos malal,oscar reguera,argentina
hot,hot springs,memorial field,"usa, ar"
hou,houston,hobby,"usa, tx"
hov,orsta-volda,hovden,norway
how,fort kobbe,howard afb,panama
hox,homalin,homalin,myanmar
hoy,hoy island,hoy island,united kingdom
hpa,ha'apai,salote pilolevu,tonga
hpb,hooper bay,hooper bay,"usa, ak"
hpe,hope vale,hope vale,australia
hph,haiphong,catbi,viet nam
hpn,westchester county,westchester county apt,"usa, ny"
hpr,pretoria,central hpr,south africa
hpt,hampton,municipal,"usa, ia"
hpv,kauai island,princeville,"usa, hi"
hpy,baytown,baytown,"usa, tx"
hqm,hoquiam,bowerman airport,"usa, wa"
hra,mansehra,mansehra,pakistan
hrb,harbin,harbin,pr china
hrc,zhairem,zhairem,kazakhstan
hre,harare,harare,zimbabwe
hrg,hurghada,hurghada,egypt
hri,hambantota,mattala rajapaksa international,sri lanka
hrj,chaurjhari,chaurjhari,nepal
hrk,kharkov,kharkov,ukraine
hrl,harlingen,valley international,"usa, tx"
hrm,hassi r'mel,tilrempt,algeria
hrn,heron island,heliport,australia
hro,harrison,boone county,"usa, ar"
hrr,herrera,herrera,colombia
hrs,harrismith,harrismith airport,south africa
hrt,harrogate,linton-on-ouse,united kingdom
